Day,Price
1,15.649286
2,15.292857
3,15.542500
4,15.544643
5,15.428929
6,15.551071
7,15.678929
8,15.674286
9,15.517857
10,15.522857
11,15.865357
12,16.337856
13,16.463215
14,16.343929
15,16.356428
16,16.503571
17,16.783930
18,16.637142
19,16.314285
20,16.136429
21,15.846429
22,15.647857
23,15.617143
24,15.535714
25,15.176786
26,15.267857
27,15.303571
28,15.609286
29,15.642500
30,15.505357
31,15.281786
32,15.236071
33,15.021429
34,14.492500
35,14.271429
36,14.364286
37,14.585000
38,14.830357
39,14.783571
40,14.956071
41,15.486429
42,15.901786
43,15.890357
44,16.021070
45,16.186787
46,16.507143
47,16.633928
48,16.620358
49,16.535713
50,16.418215
51,16.353571
52,16.257143
53,15.750000
54,15.637500
55,15.717500
56,15.921429
57,15.910000
58,16.012501
59,15.934286
60,15.916429
61,16.111071
62,15.982143
63,16.232143
64,16.325001
65,16.155714
66,16.229643
67,16.097143
68,15.964286
69,15.830000
70,16.038570
71,15.812857
72,15.758929
73,15.612143
74,15.581786
75,15.560714
76,15.532143
77,15.416429
78,15.213571
79,15.000000
80,14.595000
81,14.563929
82,14.456786
83,14.335357
84,14.295357
85,14.723929
86,15.058214
87,15.106429
88,15.117500
89,15.035714
90,15.125000
91,15.171429
92,15.294643
93,15.349643
94,15.409286
95,15.382500
96,15.436429
97,15.531071
98,15.499286
99,15.348214
100,15.248571
101,15.878214
102,15.764286
103,15.751429
104,16.071072
105,16.326786
106,16.333570
107,16.314285
108,16.530357
109,16.809643
110,16.853214
111,16.678572
112,16.575001
113,16.445000
114,16.737499
115,17.666430
116,18.008928
117,17.942858
118,17.962143
119,18.347857
120,18.234644
121,18.112499
122,18.056786
123,17.976786
124,18.221430
125,17.946787
126,17.707144
127,17.732143
128,17.605356
129,17.878571
130,17.937143
131,17.881430
132,17.834999
133,18.139999
134,18.123215
135,16.917500
136,16.978571
137,16.851070
138,16.486071
139,16.418215
140,16.655357
141,16.993929
142,17.091070
143,17.746786
144,17.695356
145,17.487143
146,17.448570
147,17.309643
148,17.202143
149,17.469286
150,17.564285
151,17.583929
152,17.307142
153,17.594643
154,17.522858
155,17.421070
156,17.584999
157,17.637142
158,17.770714
159,17.928572
160,17.947500
161,18.027857
162,18.187857
163,18.725000
164,18.873215
165,18.773930
166,19.016787
167,19.043928
168,18.964287
169,19.258928
170,18.840000
171,18.838928
172,18.742857
173,18.815001
174,18.888929
175,18.745001
176,18.685356
177,18.611786
178,18.631071
179,18.711430
180,18.651787
181,18.902857
182,18.896070
183,18.828215
184,18.692142
185,18.586430
186,18.614643
187,18.648571
188,18.781071
189,19.147858
190,19.500000
191,19.940357
192,20.154642
193,20.227858
194,20.328215
195,20.540714
196,20.241072
197,20.342142
198,20.281429
199,20.391787
200,20.190714
201,20.102858
202,20.094286
203,19.980000
204,19.694643
205,19.642857
206,19.700357
207,20.382856
208,20.424286
209,20.339287
210,20.157499
211,20.003214
212,20.045713
213,19.893929
214,19.775000
215,19.528570
216,19.498571
217,19.484285
218,19.530714
219,19.314285
220,19.375000
221,19.526072
222,20.007143
223,19.887501
224,19.716785
225,19.645357
226,19.903214
227,19.875000
228,19.843571
229,19.814285
230,18.392857
231,18.120358
232,18.089287
233,17.911785
234,18.133215
235,18.195000
236,18.402857
237,18.339287
238,18.676071
239,18.999643
240,19.205357
241,19.270000
242,19.458929
243,19.499287
244,19.685356
245,19.531786
246,19.178572
247,19.091785
248,18.925714
249,18.913214
250,18.750000
251,18.885000
252,19.026787
253,18.951786
254,19.022858
255,19.098213
256,19.087143
257,18.999287
258,19.047501
259,19.240713
260,19.191071
261,19.273571
262,18.960358
263,18.927500
264,18.998928
265,19.151428
266,19.023930
267,19.062500
268,19.303572
269,19.491072
270,19.607143
271,19.339287
272,19.247856
273,19.314644
274,19.352501
275,19.410000
276,19.375000
277,19.285713
278,18.960714
279,18.790001
280,18.946072
281,19.008572
282,18.672501
283,18.648571
284,18.629999
285,18.610357
286,18.848572
287,19.004999
288,18.993929
289,18.968929
290,20.357143
291,20.428213
292,21.276787
293,21.285000
294,21.408215
295,21.242857
296,21.221430
297,21.464287
298,21.586071
299,21.331785
300,21.228930
301,20.937500
302,21.202143
303,21.233570
304,21.335714
305,21.307142
306,21.340357
307,21.690357
308,21.657143
309,21.667856
310,21.780357
311,21.954643
312,22.352142
313,22.493929
314,22.745358
315,23.006071
316,22.672501
317,22.812143
318,23.138929
319,23.191786
320,23.259287
321,23.469999
322,23.762501
323,23.690001
324,23.530001
325,23.110001
326,23.187500
327,23.174999
328,23.072500
329,23.075001
330,23.137501
331,22.905001
332,22.934999
333,22.674999
334,22.762501
335,23.000000
336,23.432501
337,23.517500
338,23.514999
339,23.525000
340,23.997499
341,24.200001
342,23.987499
343,23.887501
344,23.972500
345,24.222500
346,24.212500
347,24.275000
348,23.820000
349,23.684999
350,23.750000
351,23.722500
352,24.469999
353,24.330000
354,24.459999
355,24.809999
356,24.860001
357,24.674999
358,24.362499
359,24.155001
360,24.145000
361,23.920000
362,23.870001
363,23.987499
364,23.705000
365,24.020000
366,24.219999
367,24.309999
368,24.392500
369,24.547501
370,24.842501
371,25.170000
372,25.272499
373,25.235001
374,25.367500
375,25.542500
376,25.375000
377,25.642500
378,25.695000
379,25.725000
380,25.934999
381,25.799999
382,25.022499
383,24.847500
384,24.827499
385,25.770000
386,25.277500
387,25.360001
388,25.547501
389,25.762501
390,25.315001
391,25.450001
392,25.587500
393,25.587500
394,25.535000
395,25.735001
396,25.712500
397,25.177500
398,25.187500
399,25.110001
400,25.385000
401,25.172501
402,25.055000
403,25.052500
404,25.162500
405,25.030001
406,25.277500
407,25.594999
408,25.507500
409,25.445000
410,25.129999
411,24.787500
412,24.430000
413,24.750000
414,24.990000
415,25.754999
416,26.027500
417,26.262501
418,26.372499
419,26.370001
420,26.684999
421,26.842501
422,26.837500
423,27.010000
424,27.575001
425,27.372499
426,27.325001
427,27.197500
428,27.330000
429,27.332500
430,27.437500
431,27.857500
432,28.362499
433,28.547501
434,29.320000
435,28.922501
436,28.934999
437,29.215000
438,29.392500
439,29.692499
440,29.937500
441,29.775000
442,29.850000
443,29.812500
444,28.937500
445,29.087500
446,29.299999
447,29.020000
448,28.662500
449,28.575001
450,28.712500
451,28.450001
452,27.967501
453,27.900000
454,27.540001
455,27.459999
456,28.162500
457,28.309999
458,28.372499
459,28.332500
460,28.177500
461,28.629999
462,28.692499
463,28.480000
464,28.282499
465,27.860001
466,27.162500
467,26.857500
468,27.049999
469,28.037500
470,28.312500
471,28.157499
472,28.200001
473,27.622499
474,27.514999
475,26.895000
476,27.242500
477,27.764999
478,28.117500
479,28.437500
480,28.590000
481,28.120001
482,29.530001
483,29.797501
484,30.000000
485,29.792500
486,29.772499
487,30.127501
488,30.057501
489,30.062500
490,29.959999
491,30.537500
492,31.230000
493,31.870001
494,31.820000
495,32.220001
496,32.195000
497,32.257500
498,32.375000
499,33.250000
500,33.400002
501,32.900002
502,32.717499
503,32.642502
504,32.570000
505,32.380001
506,32.389999
507,32.187500
508,32.342499
509,32.392502
510,31.805000
511,31.192499
512,31.225000
513,31.350000
514,31.237499
515,31.830000
516,32.290001
517,32.312500
518,32.099998
519,31.962500
520,32.009998
521,31.705000
522,31.219999
523,31.174999
524,31.600000
525,31.622499
526,31.280001
527,31.389999
528,31.877501
529,32.029999
530,31.600000
531,31.645000
532,31.802500
533,32.142502
534,31.822500
535,31.782499
536,31.775000
537,31.535000
538,32.029999
539,32.049999
540,32.217499
541,32.605000
542,32.657501
543,33.282501
544,33.634998
545,32.897499
546,32.160000
547,32.532501
548,32.642502
549,32.112499
550,31.687500
551,31.520000
552,31.905001
553,31.889999
554,31.719999
555,31.797501
556,32.237499
557,32.372501
558,32.680000
559,32.720001
560,32.744999
561,32.907501
562,33.242500
563,33.227501
564,33.064999
565,32.987499
566,32.862499
567,32.847500
568,32.665001
569,32.735001
570,32.645000
571,32.422501
572,32.302502
573,32.020000
574,32.334999
575,32.544998
576,32.082500
577,31.809999
578,31.962500
579,31.969999
580,32.077499
581,31.955000
582,32.014999
583,31.902500
584,32.450001
585,32.299999
586,31.997499
587,31.617500
588,31.530001
589,31.735001
590,31.672501
591,31.557501
592,31.537500
593,31.160000
594,31.014999
595,30.962500
596,31.440001
597,31.592501
598,31.787500
599,32.142502
600,32.404999
601,33.242500
602,33.230000
603,31.375000
604,31.772499
605,31.434999
606,30.902500
607,30.977501
608,30.875000
609,30.642500
610,30.660000
611,30.642500
612,29.424999
613,29.360001
614,29.125000
615,29.062500
616,29.997499
617,29.545000
618,28.855000
619,29.100000
620,29.077499
621,29.412500
622,29.360001
623,29.129999
624,28.587500
625,27.975000
626,27.200001
627,27.777500
628,27.472500
629,28.309999
630,28.327499
631,28.632500
632,27.969999
633,28.084999
634,28.195000
635,27.612499
636,28.139999
637,28.504999
638,28.320000
639,28.552500
640,29.222500
641,29.132500
642,29.135000
643,29.122499
644,28.575001
645,28.842501
646,28.545000
647,28.680000
648,28.875000
649,29.172501
650,28.642500
651,28.377501
652,27.885000
653,27.405001
654,27.752501
655,27.842501
656,27.934999
657,27.942499
658,27.547501
659,28.070000
660,28.187500
661,28.112499
662,27.879999
663,28.025000
664,28.000000
665,27.937500
666,28.542500
667,28.895000
668,28.875000
669,29.807501
670,29.532499
671,29.135000
672,29.825001
673,30.172501
674,30.305000
675,30.340000
676,30.872499
677,30.955000
678,30.672501
679,30.452499
680,30.452499
681,29.517500
682,29.355000
683,29.205000
684,28.892500
685,28.559999
686,28.762501
687,29.372499
688,29.937500
689,29.980000
690,29.932501
691,29.837500
692,29.807501
693,29.602501
694,29.852501
695,29.702499
696,29.527500
697,29.197500
698,29.812500
699,29.965000
700,29.650000
701,29.422501
702,29.235001
703,28.847500
704,28.170000
705,28.200001
706,27.997499
707,28.062500
708,27.379999
709,26.842501
710,26.930000
711,27.212500
712,27.250000
713,26.922501
714,27.357500
715,27.174999
716,26.757500
717,26.342501
718,26.462500
719,25.592501
720,25.032499
721,24.777500
722,24.764999
723,25.172501
724,25.297501
725,25.120001
726,24.427500
727,24.662500
728,24.547501
729,24.469999
730,25.365000
731,25.382500
732,25.219999
733,24.157499
734,23.629999
735,24.334999
736,24.177500
737,24.010000
738,24.209999
739,24.332500
740,24.230000
741,23.924999
742,23.985001
743,24.087500
744,23.680000
745,23.625000
746,24.212500
747,24.552500
748,24.722500
749,24.190001
750,24.225000
751,24.125000
752,24.094999
753,24.190001
754,24.504999
755,24.557501
756,25.192499
757,25.222500
758,25.427500
759,25.937500
760,25.707500
761,25.440001
762,25.395000
763,25.559999
764,25.570000
765,25.727501
766,26.295000
767,26.577499
768,26.617500
769,26.625000
770,26.912500
771,26.822500
772,26.767500
773,26.562500
774,26.547501
775,26.947500
776,27.605000
777,27.475000
778,27.500000
779,28.047501
780,27.682501
781,27.745001
782,27.605000
783,27.442499
784,27.652500
785,27.625000
786,28.084999
787,28.097500
788,28.075001
789,27.237499
790,27.000000
791,27.022499
792,26.732500
793,26.620001
794,26.412500
795,26.325001
796,24.677500
797,24.469999
798,23.680000
799,23.520000
800,23.934999
801,23.975000
802,23.517500
803,23.362499
804,23.442499
805,23.392500
806,23.392500
807,23.195000
808,22.917500
809,23.597500
810,23.674999
811,23.802500
812,23.660000
813,23.857500
814,24.297501
815,24.522499
816,24.934999
817,25.182501
818,25.117500
819,25.100000
820,24.885000
821,24.459999
822,24.567499
823,25.472500
824,24.967501
825,24.889999
826,24.997499
827,24.837500
828,24.780001
829,24.620001
830,24.602501
831,24.437500
832,24.162500
833,24.142500
834,24.087500
835,24.222500
836,24.072500
837,23.665001
838,23.262501
839,23.415001
840,23.637501
841,23.942499
842,24.117500
843,23.850000
844,23.915001
845,24.125000
846,24.222500
847,24.412500
848,24.424999
849,24.417500
850,24.747499
851,24.825001
852,25.032499
853,25.000000
854,25.115000
855,25.250000
856,24.825001
857,24.709999
858,24.492500
859,26.087500
860,26.112499
861,26.137501
862,26.537500
863,26.517500
864,26.459999
865,26.500000
866,26.912500
867,27.092501
868,27.235001
869,27.225000
870,27.232500
871,27.110001
872,27.385000
873,27.557501
874,27.342501
875,27.400000
876,27.422501
877,27.275000
878,27.330000
879,27.187500
880,26.969999
881,26.987499
882,26.860001
883,26.625000
884,26.642500
885,26.700001
886,27.000000
887,27.075001
888,27.190001
889,26.817499
890,26.430000
891,26.430000
892,27.197500
893,28.257500
894,28.932501
895,29.032499
896,29.045000
897,28.530001
898,28.497499
899,28.735001
900,28.697500
901,28.347500
902,28.295000
903,28.660000
904,28.450001
905,28.342501
906,28.262501
907,28.577499
908,28.415001
909,28.584999
910,28.639999
911,29.187500
912,29.672501
913,29.495001
914,29.360001
915,29.542500
916,29.459999
917,29.552500
918,29.440001
919,29.344999
920,29.227501
921,29.434999
922,29.590000
923,28.924999
924,28.965000
925,28.802500
926,28.557501
927,28.442499
928,28.087500
929,27.865000
930,27.562500
931,27.627501
932,27.930000
933,27.830000
934,27.772499
935,27.217501
936,26.952499
937,26.920000
938,27.557501
939,27.587500
940,27.635000
941,27.997499
942,28.105000
943,27.877501
944,27.967501
945,28.117500
946,28.007500
947,28.049999
948,27.735001
949,27.522499
950,27.507500
951,27.590000
952,27.797501
953,28.107500
954,28.674999
955,28.750000
956,28.980000
957,29.049999
958,29.182501
959,29.125000
960,29.344999
961,29.375000
962,29.350000
963,29.127501
964,29.129999
965,29.450001
966,29.504999
967,29.277500
968,29.299999
969,29.082500
970,29.127501
971,29.215000
972,29.540001
973,29.857500
974,29.844999
975,29.982500
976,29.825001
977,29.905001
978,30.059999
979,30.125000
980,30.022499
981,30.112499
982,30.202499
983,30.025000
984,30.525000
985,30.610001
986,30.587500
987,30.407499
988,30.347500
989,32.622501
990,32.347500
991,32.297501
992,32.625000
993,33.022499
994,33.055000
995,33.112499
996,33.235001
997,33.455002
998,33.772499
999,34.067501
1000,33.974998
1001,33.957500
1002,34.187500
1003,34.279999
1004,34.369999
1005,34.165001
1006,34.360001
1007,34.360001
1008,35.037498
1009,35.070000
1010,34.957500
1011,34.942501
1012,34.994999
1013,34.950001
1014,34.697498
1015,34.840000
1016,34.857498
1017,34.912498
1018,35.187500
1019,35.255001
1020,35.250000
1021,35.375000
1022,35.700001
1023,35.400002
1024,35.395000
1025,35.435001
1026,35.305000
1027,36.009998
1028,36.122501
1029,36.125000
1030,36.067501
1031,36.029999
1032,36.222500
1033,36.365002
1034,36.130001
1035,36.044998
1036,35.970001
1037,35.837502
1038,35.537498
1039,35.595001
1040,35.470001
1041,35.509998
1042,35.500000
1043,35.730000
1044,35.669998
1045,35.987499
1046,36.224998
1047,36.150002
1048,36.040001
1049,36.075001
1050,36.799999
1051,37.022499
1052,36.872501
1053,36.785000
1054,37.244999
1055,38.424999
1056,38.720001
1057,38.485001
1058,38.517502
1059,39.105000
1060,39.162498
1061,39.014999
1062,38.642502
1063,38.334999
1064,38.494999
1065,38.645000
1066,38.724998
1067,38.542500
1068,38.587502
1069,38.560001
1070,38.607498
1071,38.542500
1072,38.332500
1073,38.862499
1074,38.612499
1075,38.952499
1076,38.994999
1077,38.884998
1078,38.797501
1079,36.522499
1080,36.862499
1081,36.875000
1082,36.119999
1083,36.125000
1084,36.685001
1085,36.717499
1086,36.517502
1087,36.674999
1088,36.790001
1089,37.070000
1090,36.540001
1091,36.527500
1092,36.282501
1093,36.240002
1094,36.325001
1095,36.197498
1096,35.875000
1097,36.187500
1098,36.487499
1099,36.462502
1100,36.544998
1101,37.122501
1102,37.332500
1103,37.724998
1104,37.532501
1105,37.855000
1106,37.935001
1107,37.610001
1108,38.110001
1109,38.459999
1110,38.482498
1111,38.497501
1112,37.557499
1113,37.582500
1114,37.555000
1115,39.937500
1116,39.302502
1117,39.349998
1118,39.730000
1119,40.457500
1120,40.317501
1121,40.000000
1122,39.642502
1123,40.052502
1124,40.549999
1125,40.627499
1126,40.177502
1127,39.875000
1128,39.472500
1129,40.000000
1130,40.117500
1131,40.185001
1132,40.139999
1133,40.500000
1134,40.779999
1135,40.972500
1136,41.130001
1137,41.235001
1138,41.062500
1139,40.747501
1140,40.560001
1141,40.287498
1142,40.512501
1143,40.990002
1144,39.990002
1145,39.849998
1146,40.242500
1147,40.125000
1148,39.942501
1149,39.564999
1150,38.950001
1151,38.067501
1152,37.957500
1153,38.480000
1154,38.680000
1155,38.570000
1156,38.532501
1157,38.612499
1158,38.772499
1159,38.465000
1160,38.860001
1161,38.872501
1162,39.182499
1163,39.500000
1164,39.244999
1165,39.342499
1166,39.320000
1167,40.000000
1168,40.217499
1169,40.177502
1170,39.270000
1171,39.437500
1172,39.422501
1173,39.355000
1174,39.387501
1175,39.457500
1176,40.900002
1177,42.017502
1178,42.412498
1179,42.485001
1180,42.125000
1181,43.564999
1182,43.747501
1183,43.812500
1184,44.060001
1185,44.025002
1186,43.845001
1187,43.625000
1188,43.369999
1189,42.580002
1190,42.967499
1191,42.847500
1192,42.639999
1193,43.424999
1194,43.750000
1195,43.875000
1196,43.770000
1197,43.717499
1198,43.230000
1199,43.035000
1200,42.917500
1201,43.154999
1202,42.880001
1203,42.549999
1204,42.610001
1205,42.750000
1206,43.222500
1207,43.097500
1208,43.384998
1209,43.282501
1210,43.542500
1211,44.299999
1212,43.847500
1213,43.855000
1214,44.005001
1215,43.855000
1216,42.867500
1217,42.695000
1218,42.962502
1219,42.647499
1220,43.075001
1221,43.637501
1222,43.367500
1223,43.842499
1224,43.902500
1225,43.764999
1226,43.575001
1227,43.872501
1228,44.340000
1229,44.847500
1230,44.812500
1231,45.025002
1232,44.895000
1233,44.445000
1234,44.860001
1235,44.325001
1236,43.737499
1237,43.000000
1238,42.540001
1239,41.842499
1240,42.110001
1241,42.154999
1242,41.700001
1243,40.970001
1244,40.930000
1245,40.849998
1246,40.250000
1247,39.472500
1248,40.972500
1249,41.187500
1250,41.884998
1251,43.272499
1252,43.705002
1253,43.564999
1254,43.529999
1255,43.487499
1256,43.912498
1257,44.847500
1258,45.119999
1259,45.154999
1260,44.945000
1261,44.075001
1262,44.435001
1263,44.562500
1264,43.962502
1265,44.279999
1266,45.000000
1267,45.597500
1268,45.875000
1269,45.130001
1270,45.060001
1271,44.779999
1272,44.367500
1273,44.200001
1274,43.772499
1275,43.169998
1276,42.480000
1277,43.275002
1278,43.787498
1279,42.505001
1280,42.937500
1281,42.235001
1282,42.187500
1283,43.002499
1284,43.557499
1285,43.119999
1286,43.272499
1287,43.500000
1288,43.480000
1289,43.750000
1290,43.959999
1291,44.047501
1292,44.735001
1293,44.705002
1294,43.847500
1295,42.805000
1296,41.730000
1297,41.582500
1298,41.355000
1299,41.432499
1300,41.082500
1301,41.814999
1302,42.299999
1303,44.437500
1304,44.375000
1305,46.062500
1306,46.917500
1307,46.555000
1308,46.849998
1309,47.592499
1310,47.514999
1311,47.382500
1312,46.767502
1313,47.115002
1314,47.227501
1315,46.952499
1316,47.317501
1317,47.220001
1318,47.125000
1319,47.209999
1320,47.412498
1321,47.187500
1322,47.000000
1323,47.057499
1324,47.564999
1325,48.355000
1326,48.485001
1327,48.520000
1328,48.549999
1329,48.000000
1330,47.992500
1331,48.152500
1332,48.220001
1333,47.892502
1334,47.540001
1335,47.305000
1336,46.582500
1337,46.799999
1338,47.087502
1339,46.537498
1340,46.230000
1341,46.632500
1342,46.820000
1343,46.552502
1344,46.797501
1345,46.825001
1346,46.987499
1347,46.602501
1348,47.107498
1349,47.669998
1350,47.820000
1351,47.445000
1352,47.852501
1353,47.959999
1354,48.162498
1355,47.967499
1356,47.950001
1357,48.137501
1358,48.107498
1359,47.990002
1360,48.415001
1361,48.712502
1362,48.990002
1363,48.797501
1364,48.049999
1365,48.035000
1366,50.439999
1367,52.095001
1368,52.185001
1369,52.312500
1370,52.375000
1371,51.952499
1372,52.445000
1373,52.275002
1374,52.737499
1375,52.639999
1376,52.685001
1377,53.452499
1378,54.487499
1379,54.794998
1380,54.297501
1381,54.090000
1382,54.262501
1383,54.224998
1384,54.685001
1385,55.134998
1386,55.872501
1387,57.064999
1388,57.217499
1389,57.294998
1390,57.417500
1391,56.837502
1392,56.342499
1393,55.462502
1394,56.075001
1395,56.250000
1396,57.087502
1397,56.709999
1398,55.737499
1399,55.462502
1400,54.904999
1401,55.570000
1402,55.340000
1403,55.314999
1404,55.705002
1405,55.937500
1406,56.610001
1407,56.459999
1408,57.355000
1409,57.500000
1410,58.367500
1411,58.087502
1412,57.102501
1413,56.200001
1414,56.817501
1415,56.587502
1416,54.875000
1417,55.720001
1418,55.457500
1419,55.747501
1420,55.660000
1421,54.935001
1422,55.314999
1423,55.840000
1424,55.812500
1425,56.057499
1426,55.345001
1427,55.047501
1428,54.922501
1429,53.794998
1430,55.112499
1431,55.590000
1432,53.412498
1433,51.097500
1434,51.180000
1435,52.514999
1436,52.529999
1437,51.502499
1438,49.962502
1439,49.294998
1440,48.619999
1441,47.992500
1442,48.742500
1443,47.674999
1444,45.367500
1445,45.067501
1446,44.150002
1447,43.737499
1448,43.692501
1449,45.322498
1450,45.700001
1451,45.082500
1452,46.235001
1453,45.597500
1454,43.695000
1455,43.622501
1456,42.522499
1457,42.947498
1458,42.980000
1459,43.142502
1460,42.270000
1461,42.087502
1462,41.882500
1463,41.862499
1464,40.527500
1465,39.540001
1466,37.887501
1467,39.307499
1468,39.192501
1469,39.630001
1470,39.840000
1471,39.712502
1472,36.430000
1473,37.137501
1474,37.207500
1475,37.955002
1476,38.632500
1477,38.492500
1478,38.424999
1479,37.817501
1480,38.347500
1481,38.970001
1482,39.415001
1483,39.470001
1484,39.182499
1485,38.785000
1486,38.619999
1487,39.532501
1488,39.082500
1489,39.532501
1490,41.537498
1491,42.250000
1492,42.244999
1493,42.915001
1494,43.770000
1495,43.892502
1496,43.485001
1497,42.665001
1498,42.802502
1499,42.750000
1500,43.119999
1501,42.814999
1502,42.924999
1503,42.860001
1504,43.330002
1505,43.092499
1506,43.250000
1507,43.967499
1508,43.825001
1509,43.750000
1510,43.727501
1511,43.787498
1512,44.437500
1513,44.000000
1514,43.872501
1515,43.610001
1516,43.267502
1517,44.779999
1518,45.667500
1519,45.825001
1520,46.025002
1521,46.832500
1522,47.097500
1523,47.247501
1524,47.372501
1525,49.082500
1526,49.422501
1527,47.994999
1528,48.220001
1529,47.439999
1530,47.389999
1531,47.520000
1532,47.919998
1533,48.615002
1534,49.125000
1535,49.092499
1536,49.275002
1537,50.057499
1538,50.712502
1539,50.185001
1540,50.250000
1541,50.035000
1542,49.962502
1543,50.342499
1544,50.845001
1545,51.037498
1546,51.235001
1547,51.937500
1548,52.119999
1549,51.939999
1550,51.250000
1551,51.492500
1552,50.849998
1553,53.827499
1554,53.162498
1555,52.959999
1556,52.209999
1557,51.855000
1558,51.334999
1559,50.419998
1560,49.712502
1561,47.369999
1562,47.424999
1563,47.937500
1564,48.117500
1565,47.724998
1566,46.087502
1567,47.000000
1568,46.427502
1569,45.134998
1570,45.535000
1571,45.147499
1572,44.837502
1573,44.807499
1574,44.497501
1575,44.480000
1576,44.957500
1577,46.247501
1578,46.367500
1579,47.980000
1580,48.842499
1581,49.000000
1582,48.992500
1583,49.197498
1584,48.397499
1585,48.740002
1586,50.072498
1587,49.970001
1588,50.152500
1589,50.212502
1590,50.040001
1591,49.814999
1592,50.247501
1593,50.392502
1594,49.875000
1595,51.122501
1596,50.782501
1597,51.110001
1598,51.270000
1599,50.349998
1600,50.377499
1601,50.932499
1602,51.097500
1603,51.000000
1604,51.467499
1605,51.527500
1606,51.272499
1607,51.470001
1608,51.625000
1609,51.807499
1610,52.227501
1611,52.287498
1612,52.310001
1613,52.432499
1614,52.660000
1615,52.540001
1616,55.342499
1617,54.507500
1618,51.607498
1619,49.662498
1620,49.517502
1621,49.889999
1622,50.882500
1623,50.689999
1624,50.512501
1625,53.035000
1626,51.610001
1627,51.285000
1628,51.790001
1629,53.182499
1630,53.337502
1631,53.412498
1632,53.610001
1633,53.012501
1634,51.797501
1635,52.137501
1636,51.430000
1637,52.330002
1638,52.612499
1639,51.744999
1640,52.369999
1641,53.492500
1642,53.605000
1643,54.110001
1644,54.195000
1645,55.927502
1646,56.605000
1647,55.197498
1648,55.032501
1649,55.205002
1650,55.712502
1651,55.939999
1652,55.639999
1653,54.959999
1654,55.622501
1655,55.375000
1656,55.235001
1657,55.240002
1658,56.145000
1659,57.055000
1660,55.895000
1661,55.240002
1662,56.872501
1663,57.482498
1664,57.014999
1665,56.947498
1666,57.610001
1667,59.410000
1668,59.532501
1669,59.412498
