Day,Price
1,28.059999
2,28.180000
3,28.129999
4,28.680000
5,28.469999
6,28.639999
7,28.320000
8,27.650000
9,27.430000
10,27.059999
11,26.790001
12,26.900000
13,26.690001
14,26.110001
15,26.010000
16,25.799999
17,25.480000
18,26.280001
19,26.170000
20,25.889999
21,26.120001
22,26.389999
23,27.230000
24,27.799999
25,27.200001
26,26.889999
27,27.840000
28,28.100000
29,28.000000
30,27.480000
31,27.110001
32,27.200001
33,26.820000
34,25.959999
35,26.360001
36,26.330000
37,26.400000
38,26.400000
39,27.620001
40,27.410000
41,27.850000
42,27.920000
43,29.020000
44,29.070000
45,28.459999
46,27.850000
47,27.299999
48,27.549999
49,27.299999
50,27.330000
51,27.280001
52,26.990000
53,26.549999
54,26.600000
55,26.190001
56,26.080000
57,25.850000
58,25.530001
59,24.969999
60,24.540001
61,23.809999
62,24.780001
63,24.950001
64,24.320000
65,23.930000
66,23.709999
67,23.090000
68,23.400000
69,24.600000
70,24.350000
71,24.260000
72,23.830000
73,23.889999
74,24.250000
75,24.690001
76,25.190001
77,24.750000
78,24.700001
79,24.110001
80,24.430000
81,24.650000
82,24.840000
83,24.980000
84,25.059999
85,24.770000
86,24.709999
87,24.660000
88,25.040001
89,25.490000
90,25.830000
91,26.000000
92,25.930000
93,26.430000
94,26.750000
95,26.780001
96,26.770000
97,26.110001
98,26.129999
99,26.299999
100,26.530001
101,34.880001
102,34.730000
103,35.630001
104,37.959999
105,38.310001
106,38.290001
107,38.490002
108,39.320000
109,39.250000
110,38.939999
111,39.189999
112,38.740002
113,38.500000
114,38.320000
115,37.549999
116,37.070000
117,37.490002
118,38.279999
119,38.580002
120,38.849998
121,38.750000
122,40.630001
123,41.939999
124,41.200001
125,40.849998
126,41.779999
127,42.259998
128,42.160000
129,42.169998
130,42.770000
131,44.610001
132,44.790001
133,44.259998
134,45.090000
135,45.619999
136,45.080002
137,44.939999
138,45.439999
139,45.470001
140,46.049999
141,47.599998
142,47.549999
143,49.660000
144,49.540001
145,50.599998
146,51.279999
147,51.599998
148,51.029999
149,51.099998
150,50.720001
151,51.160000
152,51.290001
153,50.599998
154,47.840000
155,49.680000
156,49.869999
157,49.630001
158,51.000000
159,51.240002
160,52.220001
161,54.830002
162,54.810001
163,54.759998
164,52.250000
165,52.840000
166,53.240002
167,51.700001
168,50.790001
169,50.209999
170,52.000000
171,52.090000
172,49.750000
173,50.180000
174,50.450001
175,49.869999
176,48.650002
177,47.529999
178,47.369999
179,48.740002
180,49.570000
181,49.480000
182,48.840000
183,47.000000
184,47.549999
185,47.459999
186,47.270000
187,46.650002
188,46.169998
189,46.669998
190,47.209999
191,47.540001
192,47.200001
193,48.770000
194,48.700001
195,49.389999
196,48.970001
197,50.770000
198,50.770000
199,52.070000
200,53.500000
201,54.500000
202,55.180000
203,55.889999
204,55.189999
205,55.150002
206,58.320000
207,58.580002
208,58.380001
209,57.680000
210,55.180000
211,54.860001
212,55.220001
213,55.650002
214,57.259998
215,58.549999
216,58.410000
217,58.959999
218,58.299999
219,58.250000
220,57.779999
221,58.570000
222,58.020000
223,57.820000
224,58.580002
225,59.310001
226,56.680000
227,56.419998
228,54.939999
229,55.279999
230,54.950001
231,62.500000
232,63.369999
233,63.770000
234,63.139999
235,63.160000
236,62.779999
237,64.570000
238,64.489998
239,65.000000
240,65.059998
241,67.330002
242,67.580002
243,67.540001
244,69.080002
245,70.110001
246,69.959999
247,71.440002
248,71.000000
249,71.220001
250,70.010002
251,69.879997
252,68.050003
253,68.900002
254,71.970001
255,71.889999
256,71.180000
257,72.150002
258,72.589996
259,71.349998
260,71.349998
261,69.430000
262,68.949997
263,69.599998
264,69.290001
265,68.230003
266,67.919998
267,67.360001
268,66.190002
269,64.949997
270,61.900002
271,61.950001
272,61.520000
273,62.660000
274,63.910000
275,63.169998
276,60.200001
277,58.000000
278,58.709999
279,62.459999
280,63.180000
281,60.310001
282,60.450001
283,59.680000
284,60.189999
285,60.580002
286,61.240002
287,63.439999
288,63.480000
289,63.650002
290,60.009998
291,58.310001
292,58.279999
293,59.849998
294,62.279999
295,61.889999
296,61.349998
297,61.150002
298,59.299999
299,58.820000
300,57.650002
301,59.900002
302,60.889999
303,60.450001
304,59.380001
305,58.450001
306,59.560001
307,60.189999
308,60.500000
309,61.480000
310,61.450001
311,63.509998
312,64.139999
313,64.300003
314,64.169998
315,63.590000
316,63.419998
317,63.590000
318,64.360001
319,63.480000
320,63.340000
321,65.820000
322,65.800003
323,66.470001
324,64.970001
325,64.879997
326,64.879997
327,65.750000
