Day,Price
1,25.000000
2,30.420000
3,25.920000
4,23.100000
5,20.000000
6,16.629999
7,17.520000
8,17.900000
9,18.070000
10,18.639999
11,20.150000
12,21.500000
13,21.299999
14,22.250000
15,21.850000
16,20.900000
17,21.250000
18,21.559999
19,21.500000
20,21.180000
21,20.900000
22,20.879999
23,20.440001
24,20.969999
25,21.950001
26,22.180000
27,21.549999
28,20.160000
29,19.980000
30,19.650000
31,18.879999
32,17.900000
33,18.450001
34,18.799999
35,19.400000
36,19.590000
37,19.250000
38,19.110001
39,20.389999
40,19.709999
41,19.980000
42,20.270000
43,19.870001
44,20.190001
45,19.790001
46,20.690001
47,21.240000
48,21.299999
49,21.000000
50,20.950001
51,21.049999
52,20.930000
53,20.900000
54,21.600000
55,22.000000
56,23.160000
57,21.320000
58,21.350000
59,21.549999
60,20.950001
61,20.139999
62,20.190001
63,20.809999
64,21.490000
65,22.030001
66,22.150000
67,20.750000
68,21.170000
69,21.280001
70,21.260000
71,20.639999
72,20.790001
73,20.700001
74,20.280001
75,20.850000
76,21.030001
77,20.900000
78,20.639999
79,20.410000
80,20.690001
81,20.950001
82,20.930000
83,20.980000
84,21.870001
85,21.379999
86,21.500000
87,21.850000
88,22.750000
89,21.879999
90,22.500000
91,25.330000
92,24.969999
93,25.000000
94,25.690001
95,29.969999
96,29.100000
97,30.500000
98,32.939999
99,31.400000
100,30.750000
101,30.740000
102,31.370001
103,33.450001
104,35.680000
105,35.970001
106,36.000000
107,35.950001
108,35.330002
109,36.419998
110,34.299999
111,32.250000
112,31.450001
113,32.400002
114,32.490002
115,32.720001
116,32.919998
117,31.770000
118,30.389999
119,29.969999
120,30.910000
121,31.540001
122,32.189999
123,32.689999
124,32.860001
125,32.480000
126,28.580000
127,26.750000
128,28.010000
129,27.900000
130,27.250000
131,27.000000
132,26.950001
133,26.900000
134,28.000000
135,28.580000
136,28.680000
137,28.709999
138,27.400000
139,26.969999
140,26.580000
141,25.639999
142,25.469999
143,24.450001
144,23.590000
145,24.809999
146,24.889999
147,24.879999
148,25.080000
149,24.879999
150,24.120001
151,24.730000
152,24.180000
153,23.900000
154,23.670000
155,23.260000
156,25.250000
157,24.180000
158,23.639999
159,23.750000
160,24.139999
161,23.170000
162,24.969999
163,25.490000
164,23.490000
165,23.000000
166,22.500000
167,22.580000
168,23.850000
169,24.100000
170,24.320000
171,24.280001
172,24.790001
173,24.990000
174,25.400000
175,24.959999
176,24.990000
177,24.490000
178,24.250000
179,24.000000
180,22.959999
181,23.250000
182,23.430000
183,23.190001
184,23.049999
185,22.860001
186,22.270000
187,22.379999
188,23.000000
189,23.540001
190,24.000000
191,24.490000
192,28.709999
193,28.180000
194,27.000000
195,27.000000
196,27.010000
197,27.940001
198,27.600000
199,26.530001
200,25.209999
201,25.690001
202,25.280001
203,26.180000
204,25.620001
205,25.260000
206,26.090000
207,26.980000
208,26.730000
209,27.250000
210,27.360001
211,27.690001
212,27.870001
213,27.799999
214,27.389999
215,27.000000
216,27.440001
217,27.700001
218,28.000000
219,28.950001
220,28.299999
221,27.740000
222,28.190001
223,27.990000
224,27.000000
225,26.469999
226,28.440001
227,28.280001
228,27.620001
229,27.500000
230,29.010000
231,29.760000
232,29.670000
233,30.280001
234,30.100000
235,29.320000
236,31.500000
237,30.129999
238,29.389999
239,28.600000
240,28.100000
241,28.299999
242,28.879999
243,29.700001
244,28.450001
245,28.000000
246,27.700001
247,26.459999
248,27.730000
249,28.250000
250,27.719999
251,27.969999
252,28.280001
253,28.250000
254,29.090000
255,29.330000
256,29.600000
257,29.520000
258,29.139999
259,30.000000
260,29.889999
261,28.530001
262,29.090000
263,29.030001
264,28.959999
265,27.830000
266,27.450001
267,28.110001
268,30.440001
269,29.160000
270,29.540001
271,29.250000
272,28.770000
273,28.500000
274,28.549999
275,28.400000
276,28.980000
277,29.200001
278,27.830000
279,26.889999
280,25.379999
281,24.440001
282,25.450001
283,25.440001
284,25.750000
285,27.139999
286,26.750000
287,26.540001
288,26.650000
289,25.150000
290,24.219999
291,23.799999
292,23.110001
293,23.930000
294,23.870001
295,23.950001
296,24.850000
297,24.770000
298,25.500000
299,24.870001
300,23.990000
301,23.200001
302,24.000000
303,24.030001
304,23.570000
305,23.309999
306,24.100000
307,24.840000
308,24.930000
309,25.840000
310,25.809999
311,26.600000
312,26.950001
313,26.110001
314,26.620001
315,26.520000
316,26.990000
317,26.500000
318,25.820000
319,24.889999
320,25.000000
321,24.320000
322,25.840000
323,27.600000
324,27.600000
325,28.180000
326,27.770000
327,28.000000
328,28.469999
329,28.549999
330,28.000000
331,28.430000
332,28.059999
333,27.469999
334,28.299999
335,28.889999
336,28.860001
337,28.370001
338,28.950001
339,30.000000
340,29.510000
341,28.920000
342,29.260000
343,32.490002
344,32.400002
345,32.000000
346,32.000000
347,31.490000
348,31.500000
349,34.500000
350,33.540001
351,34.400002
352,35.000000
353,34.900002
354,34.110001
355,32.439999
356,32.790001
357,32.049999
358,32.410000
359,33.279999
360,33.070000
361,32.930000
362,33.990002
363,33.689999
364,35.000000
365,34.980000
366,34.889999
367,31.650000
368,31.120001
369,30.620001
370,30.930000
371,29.680000
372,29.170000
373,28.930000
374,28.500000
375,28.450001
376,28.070000
377,28.049999
378,28.000000
379,28.770000
380,29.240000
381,29.340000
382,28.980000
383,29.500000
384,28.670000
385,27.930000
386,27.790001
387,27.490000
388,27.760000
389,28.379999
390,28.620001
391,28.500000
392,27.340000
393,26.879999
394,27.740000
395,27.000000
396,27.209999
397,27.680000
398,28.010000
399,29.580000
400,29.719999
401,29.610001
402,30.000000
403,29.700001
404,30.879999
405,31.330000
406,31.900000
407,31.799999
408,32.009998
409,32.900002
410,32.270000
411,32.060001
412,33.790001
413,34.410000
414,34.509998
415,34.970001
416,34.869999
417,34.720001
418,34.970001
419,34.520000
420,34.000000
421,34.439999
422,34.119999
423,34.500000
424,34.500000
425,34.400002
426,33.279999
427,33.310001
428,33.490002
429,35.310001
430,36.290001
431,36.590000
432,36.000000
433,35.480000
434,35.889999
435,35.320000
436,35.200001
437,35.299999
438,35.150002
439,34.630001
440,38.090000
441,39.950001
442,38.439999
443,38.189999
444,37.939999
445,37.970001
446,38.470001
447,35.490002
448,35.439999
449,34.290001
450,33.849998
451,33.290001
452,34.480000
453,34.040001
454,33.700001
455,33.070000
456,32.750000
457,33.430000
458,33.730000
459,32.970001
460,32.200001
461,32.990002
462,33.520000
463,33.630001
464,33.360001
465,34.209999
466,34.389999
467,34.000000
468,32.459999
469,32.580002
470,32.730000
471,30.770000
472,34.680000
473,33.439999
474,32.130001
475,30.959999
476,30.180000
477,29.790001
478,28.459999
479,29.260000
480,31.340000
481,31.049999
482,31.250000
483,30.410000
484,31.930000
485,31.420000
486,30.290001
487,29.160000
488,28.410000
489,28.389999
490,29.450001
491,29.870001
492,30.190001
493,31.000000
494,29.840000
495,30.639999
496,30.650000
497,29.950001
498,32.330002
499,32.660000
500,34.500000
501,34.279999
502,33.980000
503,34.119999
504,32.349998
505,32.450001
506,32.110001
507,32.799999
508,31.799999
509,31.000000
510,31.670000
511,31.730000
512,31.830000
513,32.480000
514,31.680000
515,33.009998
516,34.400002
517,36.000000
518,35.209999
519,33.669998
520,33.150002
521,32.250000
522,31.299999
523,31.040001
524,29.980000
525,30.000000
526,29.660000
527,30.250000
528,27.969999
529,27.990000
530,26.850000
531,27.549999
532,28.700001
533,30.900000
534,30.000000
535,30.000000
536,29.940001
537,31.299999
538,31.170000
539,29.700001
540,30.389999
541,30.709999
542,30.389999
543,30.000000
544,30.040001
545,30.850000
546,30.240000
547,29.700001
548,29.379999
549,28.639999
550,28.740000
551,28.840000
552,28.990000
553,28.500000
554,28.900000
555,29.570000
556,29.350000
557,28.160000
558,28.580000
559,29.500000
560,30.650000
561,32.779999
562,31.900000
563,31.740000
564,31.500000
565,31.490000
566,31.030001
567,29.480000
568,28.400000
569,28.540001
570,29.889999
571,29.889999
572,29.889999
573,29.950001
574,30.100000
575,29.809999
576,29.400000
577,29.120001
578,28.719999
579,28.980000
580,28.730000
581,28.049999
582,28.090000
583,28.840000
584,28.990000
585,28.200001
586,28.000000
587,28.559999
588,28.520000
589,27.799999
590,27.799999
591,28.350000
592,29.490000
593,29.549999
594,31.580000
595,31.200001
596,32.049999
597,31.879999
598,30.930000
599,31.420000
600,32.000000
601,32.119999
602,31.440001
603,32.000000
604,33.250000
605,33.099998
606,33.470001
607,32.830002
608,32.299999
609,32.660000
610,34.290001
611,34.000000
612,34.279999
613,35.000000
614,34.799999
615,34.189999
616,34.799999
617,34.490002
618,34.799999
619,35.500000
620,35.799999
621,35.299999
622,34.400002
623,34.500000
624,35.070000
625,35.259998
626,34.790001
627,34.169998
628,34.349998
629,34.500000
630,33.910000
631,33.650002
632,33.970001
633,35.450001
634,35.450001
635,34.799999
636,34.799999
637,34.500000
638,34.189999
639,33.990002
640,34.040001
641,33.380001
642,34.250000
643,34.230000
644,34.849998
645,34.779999
646,35.549999
647,36.240002
648,37.720001
649,37.540001
650,38.709999
651,38.439999
652,38.000000
653,37.869999
654,38.500000
655,38.419998
656,38.650002
657,39.389999
658,39.680000
659,40.000000
660,39.150002
661,38.869999
662,39.000000
663,38.750000
664,38.509998
665,39.290001
666,39.650002
667,37.389999
668,36.389999
669,36.750000
670,34.959999
671,35.410000
672,36.099998
673,35.080002
674,35.830002
675,36.919998
676,37.880001
677,38.650002
678,39.439999
679,39.439999
680,39.380001
681,39.490002
682,38.910000
683,36.650002
684,36.060001
685,35.599998
686,36.070000
687,37.060001
688,36.799999
689,38.520000
690,38.220001
691,38.380001
692,38.240002
693,46.680000
694,45.500000
695,43.470001
696,42.250000
697,42.000000
698,42.549999
699,41.830002
700,42.009998
701,44.549999
702,45.139999
703,43.799999
704,46.139999
705,45.950001
706,47.599998
707,49.880001
708,50.200001
709,52.919998
710,51.049999
711,52.400002
712,53.740002
713,54.990002
714,58.180000
715,55.990002
716,55.270000
717,56.470001
718,59.660000
719,62.369999
720,58.200001
721,75.769997
722,81.000000
723,88.000000
724,97.120003
725,86.879997
726,95.000000
727,94.440002
728,92.500000
729,89.989998
730,90.959999
731,93.010002
732,97.949997
733,110.750000
734,114.900002
735,109.540001
736,106.440002
737,97.620003
738,96.419998
739,97.970001
740,99.269997
741,102.900002
742,102.519997
743,98.680000
744,100.480003
745,99.279999
746,102.519997
747,104.750000
748,103.980003
749,106.669998
750,107.129997
751,103.699997
752,102.870003
753,104.199997
754,105.870003
755,110.250000
756,109.440002
757,117.769997
758,121.889999
759,119.250000
760,120.279999
761,122.180000
762,125.320000
763,123.250000
764,126.089996
765,129.940002
766,133.259995
767,126.320000
768,121.620003
769,122.730003
770,120.550003
771,126.680000
772,125.559998
773,124.500000
774,124.750000
775,130.679993
776,135.369995
777,137.490005
778,134.970001
779,136.520004
780,138.250000
781,144.889999
782,145.729996
783,141.949997
784,158.880005
785,155.949997
786,150.500000
787,149.839996
788,144.839996
789,143.600006
790,143.910004
791,147.380005
792,149.779999
793,150.309998
794,157.479996
795,162.300003
796,173.000000
797,168.800003
798,171.500000
799,167.750000
800,169.210007
801,173.699997
802,171.619995
803,171.500000
804,169.699997
805,164.500000
806,167.500000
807,167.899994
808,166.759995
809,166.369995
810,170.850006
811,168.419998
812,167.449997
813,180.470001
814,185.830002
815,185.479996
816,184.960007
817,186.300003
818,189.679993
819,191.279999
820,194.500000
821,194.229996
822,191.830002
823,179.690002
824,181.179993
825,186.729996
826,185.929993
827,174.990005
828,175.750000
829,179.289993
830,182.500000
831,188.789993
832,187.300003
833,184.800003
834,185.960007
835,183.389999
836,177.779999
837,171.809998
838,174.500000
839,174.500000
840,170.500000
841,165.449997
842,167.679993
843,162.440002
844,165.899994
845,175.389999
846,181.429993
847,160.729996
848,145.649994
849,140.600006
850,145.419998
851,144.699997
852,142.369995
853,140.399994
854,137.949997
855,135.449997
856,129.000000
857,127.449997
858,124.790001
859,122.750000
860,125.839996
861,122.720001
862,126.949997
863,130.589996
864,128.550003
865,144.940002
866,144.429993
867,143.350006
868,142.490005
869,141.699997
870,145.869995
871,143.050003
872,148.240005
873,151.800003
874,150.429993
875,154.630005
876,154.899994
877,147.000000
878,144.350006
879,146.240005
880,154.970001
881,158.000000
882,155.500000
883,154.809998
884,153.199997
885,152.479996
886,152.190002
887,150.399994
888,150.399994
889,153.699997
890,153.429993
891,148.899994
892,147.000000
893,162.000000
894,172.229996
895,172.699997
896,173.199997
897,177.289993
898,180.320007
899,182.380005
900,180.479996
901,177.919998
902,178.979996
903,179.089996
904,184.779999
905,186.000000
906,184.880005
907,181.600006
908,180.589996
909,180.110001
910,186.630005
911,199.300003
912,202.199997
913,198.270004
914,202.720001
915,201.880005
916,206.000000
917,203.699997
918,215.210007
919,213.979996
920,218.360001
921,259.200012
922,265.000000
923,261.899994
924,252.679993
925,251.649994
926,260.000000
927,256.989990
928,257.500000
929,254.850006
930,243.000000
931,244.600006
932,247.500000
933,244.190002
934,236.940002
935,237.929993
936,241.500000
937,241.550003
938,239.250000
939,236.199997
940,229.899994
941,227.050003
942,222.600006
943,213.600006
944,216.720001
945,216.750000
946,218.160004
947,230.889999
948,235.729996
949,228.270004
950,216.199997
951,216.490005
952,218.449997
953,217.500000
954,207.000000
955,208.440002
956,199.289993
957,199.990005
958,202.289993
959,206.199997
960,219.330002
961,216.740005
962,212.800003
963,206.699997
964,203.789993
965,207.149994
966,208.160004
967,214.020004
968,211.360001
969,217.690002
970,218.660004
971,210.199997
972,194.399994
973,183.399994
974,187.190002
975,191.339996
976,193.479996
977,192.660004
978,192.039993
979,196.889999
980,199.330002
981,199.869995
982,206.880005
983,207.759995
984,213.869995
985,212.770004
986,212.490005
987,214.800003
988,209.350006
989,208.000000
990,206.259995
991,209.199997
992,210.809998
993,209.990005
994,206.970001
995,205.000000
